# mode    phonon energy (meV)    IPR
452         58.856739          58.478326
453         58.856739          58.478326
454         59.029949          53.000001
455         59.065753          45.647159
456         59.065753          45.647159
457         59.142571          32.007416
458         59.210450          45.412374
459         59.210450          45.412374
460         59.352424          51.464890
461         59.352424          51.464890
462         59.367204          53.334406
463         59.408205          42.928931
464         59.479392          42.676999
465         59.603510          46.471810
466         59.603510          46.471810
467         59.820419          74.956094
468         59.826020          37.469434
469         59.826020          37.469434
470         59.909887          50.844091
471         59.909887          50.844091
472         60.018871          30.979799
473         60.049912          36.940735
474         60.049912          36.940735
475         60.164256          25.085200
476         60.888545          42.874784
477         60.888545          42.874784
478         61.175519          30.440348
479         61.175519          30.440348
480         61.595545          60.621446
481         62.258242          44.369060
482         62.280625          58.039064
483         62.280625          58.039064
484         62.290966          40.066592
485         62.620388          48.826789
486         63.001791          63.961437
487         63.001791          63.961437
488         63.166315          44.871764
489         63.166315          44.871764
490         63.310232          43.024283
491         63.310232          43.024283
492         63.378249          40.019526
493         64.069742          49.366122
494         64.069742          49.366122
495         64.275703          40.278675
496         64.307823          50.787711
497         64.350104          52.678492
498         64.350104          52.678492
499         64.470593          65.995084
500         64.561948          35.904386
501         64.561948          35.904386
502         64.770094          59.217200
503         64.770094          59.217200
504         64.834124          37.403471
505         64.909602          52.845660
506         64.909602          52.845660
507         65.012668          43.009198
508         65.178994          58.912398
509         65.241235          62.818174
510         65.241235          62.818174
511         65.377443          48.700034
512         65.416040          68.862042
513         65.434933          45.324605
514         65.434933          45.324605
515         65.539710          62.851618
516         65.539710          62.851618
517         65.594160          57.756858
518         65.670264          50.855215
519         65.670264          50.855215
520         65.704369          55.914106
521         65.704369          55.914106
522         65.718168          47.506660
523         65.755737          53.380024
524         65.755737          53.380024
525         65.768816          57.274388
526         65.778154          57.073535
527         65.778154          57.073535
528         65.802563          48.529187
529         65.883142          35.011109
530         66.055197          41.126387
531         66.055197          41.126390
532         66.056037          47.890516
533         66.106539          39.295935
534         66.106539          39.295935
535         66.170323          50.594340
536         66.170323          50.594340
537         66.210536          68.955407
538         66.227827          34.514660
539         66.314772          39.273440
540         66.343234          53.272885
541         66.343234          53.272885
542         66.503743          54.657291
543         66.643620          38.876792
544         66.753064          25.086868
545         66.753064          25.086868
546         66.766956          65.850776
547         66.944788          29.723716
548         67.004422          67.270606
549         67.092868          57.015939
550         67.092868          57.015939
551         67.328216          18.007733
552         67.390329          29.274547
553         67.390329          29.274547
554         67.678216          57.107845
555         67.678216          57.107845
556         67.767131          55.587265
557         67.899904          60.536842
558         67.935707          62.655902
559         67.935707          62.655902
560         68.239483          62.033453
561         68.283883          61.013927
562         68.283883          61.013927
563         68.620168          57.087964
564         68.797198          59.902319
565         68.797198          59.902319
566         69.288979          44.516646
567         69.465149          50.764462
568         69.465149          50.764462
569         69.753805          32.374649
570         71.986946          10.908929
571         71.986946          10.908929
572         73.975546          4.515705
